dataset,feature_group,rank,feature,mean_importance,std_importance
personal,sensor_only,32,gyro_energy,0.0168692204804495,0.0154550723858301
personal,sensor_only,33,gyro_planarity,0.0163269890053245,0.023277604891269
personal,sensor_only,34,acc_mag_std,0.0143471000412067,0.0137509949440112
personal,sensor_only,35,acc_mag_p95,0.0134147521013861,0.0101830928797419
personal,sensor_only,36,acc_dt_mean,0.0131935102541626,0.0192498099783197
personal,sensor_only,37,acc_mag_p99,0.0126686464437696,0.0124611020896252
personal,sensor_only,38,gyro_mag_spectral_entropy,0.0122614998716919,0.016935000049048
personal,sensor_only,39,acc_cv,0.0120426264679035,0.0153099412694634
personal,sensor_only,40,gyro_mag_trend_slope,0.0102632270391668,0.0261247437254229
personal,sensor_only,41,acc_mag_spectral_entropy,0.0083112811174987,0.0119069156090235
personal,sensor_only,42,acc_mag_trend_slope,0.0064696864697411,0.0159381219661681
personal,sensor_only,43,acc_dt_std,0.0031554921380959,0.0041517510464803
personal,sensor_only,44,gyro_cov,0.0027598939276376,0.0047305013871487
personal,sensor_only,45,gyro_dt_std,0.0024372320380689,0.0031214877808576
personal,sensor_only,46,acc_cov,0.0024103337652512,0.0028832088965995
personal,combined,1,gyro_fs_hz,0.018792754715287,0.0301568328370991
personal,combined,2,dd_cc_count,0.0182144430118674,0.0333047947143377
personal,combined,3,gyro_axis_corr_yz,0.0171498132888584,0.0315004976340245
personal,combined,4,dd_vc_count,0.0171054897865866,0.0277494138961286
personal,combined,5,ft_median,0.0167871830982426,0.0213813775710909
personal,combined,6,uu_median,0.0157828272027534,0.0200086125724236
personal,combined,7,acc_planarity,0.0155753664886954,0.0256535518161849
personal,combined,8,gyro_mag_median,0.0152454321095766,0.0262841891766047
personal,combined,9,gyro_peak_per_char_mean,0.0150457701991268,0.0201201291270849
personal,combined,10,gyro_axis_corr_xz,0.0150422805977591,0.0228217758354763
personal,combined,11,gyro_jerk_std,0.0145844656052203,0.0230934978028864
personal,combined,12,dd_median,0.0143910311161915,0.017458994621302
personal,combined,13,dd_mean,0.0142455652885859,0.019245037628841
personal,combined,14,gyro_axis_corr_xy,0.0141181390452601,0.0257995137709716
personal,combined,15,dd_cv_count,0.0140459219886137,0.0218932581305479
personal,combined,16,dd_sl_count,0.0139667627853673,0.0252146938204195
personal,combined,17,acc_axis_corr_xy,0.0129294889436771,0.0213303307316134
personal,combined,18,n_inserts,0.0126120454963985,0.0189356464860171
personal,combined,19,gyro_mag_iqr,0.0124421236112455,0.0134229648708255
personal,combined,20,acc_axis_corr_xz,0.0123514607052204,0.0236379380995223
personal,combined,21,acc_jerk_peak_per_char_mean,0.012307516049422,0.0200832086735322
personal,combined,22,gyro_auc_per_char_mean,0.0122549047048414,0.0178451600538878
personal,combined,23,gyro_to_acc_energy_ratio_per_char_mean,0.0121919293309636,0.0167103994080106
personal,combined,24,gyro_rise_time_ms_mean,0.0120967597120805,0.0202189456213934
personal,combined,25,gyro_jerk_peak_per_char_mean,0.0120269593241159,0.0191820957764581
personal,combined,26,dd_sl_median,0.0119341272407371,0.0190103659758505
personal,combined,27,dd_cv_median,0.0115018880326768,0.0144004105893852
personal,combined,28,acc_mag_median,0.0112139434974757,0.0169801913369813
personal,combined,29,gyro_peak_to_rms_ratio_mean,0.0110496543641308,0.0218754232743732
personal,combined,30,gyro_mag_p99,0.0110463320640367,0.0168347134490983
personal,combined,31,dd_cc_median,0.0110413081376539,0.0184418683589531
personal,combined,32,gyro_rms,0.0108598831364918,0.0130013410566786
personal,combined,33,ft_mean,0.0107440038749448,0.0149015505278945
personal,combined,34,gyro_mag_mean,0.010722597344954,0.0127499176387696
personal,combined,35,acc_fs_hz,0.0107030503064864,0.0167630499818505
personal,combined,36,gyro_n_samples,0.0105421569366954,0.0157451588227225
personal,combined,37,gyro_mag_p95,0.0103985307523003,0.0109630395123562
personal,combined,38,dd_cv_mean,0.0102249876880519,0.0145869066947912
personal,combined,39,dd_vc_median,0.0101436520963346,0.0136557357681677
personal,combined,40,gyro_keystroke_xcorr_peak,0.0098940889218582,0.0190846706328357
personal,combined,41,acc_auc_per_char_mean,0.0097990180253514,0.0129212591817941
personal,combined,42,dd_ls_count,0.0092888078753477,0.0161479818926356
personal,combined,43,pd_mean,0.0089952973004447,0.0125824943694268
personal,combined,44,gyro_energy,0.0088462156147696,0.0104864025263734
personal,combined,45,acc_jerk_std,0.0088367764262672,0.013514039891738
personal,combined,46,acc_peak_per_char_mean,0.0086694154754793,0.0126647854515772
personal,combined,47,gyro_cv,0.0086676136017549,0.0127863579518176
personal,combined,48,acc_peak_to_rms_ratio_mean,0.0086575026427535,0.013016886090551
personal,combined,49,consonant_pd,0.0085654236511875,0.0197372265533592
personal,combined,50,acc_mag_mean,0.0084694678331233,0.0102605711464928
personal,combined,51,wpm,0.0081217858743956,0.0109041360376641
personal,combined,52,n_dd_valid,0.0080728169374087,0.0147060674825518
personal,combined,53,gyro_peak_lag_mean_ms,0.0080723931654176,0.0133110351185104
personal,combined,54,dd_ls_median,0.0080180477901846,0.0104022747843374
personal,combined,55,acc_rise_time_ms_mean,0.0080167520902379,0.0187566289125652
personal,combined,56,vowel_pd,0.0079931753506275,0.0144408638592722
personal,combined,57,acc_n_samples,0.0079708588630516,0.0132194148577357
personal,combined,58,total_duration,0.0078638401898855,0.0144699849257904
personal,combined,59,gyro_mag_mad,0.0078609524500485,0.0093214642852287
personal,combined,60,n_ft_valid,0.0075004841165076,0.0166172045114486
personal,combined,61,capital_pd,0.0074512278717057,0.0222512469003542
personal,combined,62,acc_axis_corr_yz,0.0074475794591165,0.0123101532057871
personal,combined,63,acc_duration_sec,0.0073985229925825,0.0097504221898223
personal,combined,64,acc_mag_mad,0.0070446720020954,0.0117954868744325
personal,combined,65,n_uu_valid,0.0069159467114176,0.0121451515758484
personal,combined,66,gyro_duration_sec,0.0068726424955307,0.0091188020746296
personal,combined,67,fast_slow_gyro_ratio,0.0067782586770744,0.0140869759685362
personal,combined,68,fast_slow_acc_ratio,0.0066662385426438,0.0137062939404997
personal,combined,69,acc_mag_iqr,0.006652586079307,0.0086754189358402
personal,combined,70,dd_cc_mean,0.0066387299186155,0.0158432648645501
personal,combined,71,acc_energy_per_char,0.0065651415539985,0.0105528971126686
personal,combined,72,uu_mean,0.0064375506300799,0.0077434631159654
personal,combined,73,dd_iqr,0.0063941965420319,0.0149686909112584
personal,combined,74,space_ft,0.0061078406564464,0.0101778449168513
personal,combined,75,cps,0.006080318225373,0.0075760132065257
personal,combined,76,gyro_energy_per_char,0.0059662408127914,0.0082397426605373
personal,combined,77,dd_sl_mean,0.0059047933214873,0.0100563497776651
personal,combined,78,acc_energy,0.0058957736945987,0.0061041425836524
personal,combined,79,gyro_mag_std,0.0058708739773723,0.0072839790879811
personal,combined,80,acc_keystroke_xcorr_peak,0.005483278614244,0.0100511799769325
personal,combined,81,micro_pause_per_char,0.0054410882511231,0.0121689415279834
personal,combined,82,uu_min,0.0054098034992495,0.0054342030656489
personal,combined,83,acc_rms,0.0053057663114461,0.0061879180237866
personal,combined,84,dd_ls_mean,0.0052320961349132,0.0101934479890952
personal,combined,85,pd_median,0.0051945762830275,0.0087232992785469
personal,combined,86,ft_min,0.0050873584108329,0.006258754927942
personal,combined,87,gyro_mag_spectral_entropy,0.0050303643448137,0.0092250786627164
personal,combined,88,gyro_peak_space_minus_letter,0.0049490168276674,0.0077394429675656
personal,combined,89,acc_cv,0.0049130285756674,0.0086303750095557
personal,combined,90,dd_vc_mean,0.0048999485199714,0.0089439359580303
personal,combined,91,gyro_keystroke_xcorr_lag_ms,0.0048349461083184,0.0153556217799307
personal,combined,92,gyro_dt_mean,0.0047283042476686,0.009003704649705
personal,combined,93,gyro_planarity,0.0046932619512573,0.0089915794620919
personal,combined,94,micro_pause_count,0.0046816202265306,0.0132745904911696
personal,combined,95,acc_mag_p95,0.0046341228768793,0.0051425423947968
personal,combined,96,acc_peak_lag_mean_ms,0.0042646266556474,0.0098045839762752
personal,combined,97,acc_dt_mean,0.0041138728549648,0.0079330273448446
personal,combined,98,dd_ls_std,0.0039320989021755,0.0116662120205407
personal,combined,99,space_pd,0.0038995140298997,0.0103601110307658
personal,combined,100,ft_std,0.0036755222331263,0.0064193607820949
personal,combined,101,dd_cv_ratio,0.0035321818761588,0.0080118138346648
personal,combined,102,uu_std,0.0034538050317253,0.0066939017188594
personal,combined,103,acc_mag_p99,0.0034268646455357,0.0051958397363831
personal,combined,104,acc_peak_space_minus_letter,0.0033933754773934,0.0076703703954268
personal,combined,105,special_pd,0.003215555600371,0.0055591148841409
personal,combined,106,gyro_mag_trend_slope,0.0031985225153821,0.0117847110607138
personal,combined,107,dd_min,0.0031330487840202,0.0047842462411941
personal,combined,108,corr_acc_gyro_peak_per_char,0.0029842031568339,0.0085516806117319
personal,combined,109,acc_mag_std,0.0027820103863389,0.0040303914966753
personal,combined,110,corr_dd_gyro_energy,0.0026839782423878,0.006324318786187
personal,combined,111,long_pause_per_char,0.002640995096099,0.003956032887128
personal,combined,112,pd_skew,0.0026059328767939,0.0078319525562576
personal,combined,113,acc_mag_trend_slope,0.0023402477185607,0.0066419478524464
personal,combined,114,dd_std,0.002333077347744,0.0045746073348306
personal,combined,115,pd_std,0.0023060196084914,0.0046702451354807
personal,combined,116,gyro_post_pre_energy_ratio_mean,0.0020665644806378,0.0026150047478175
personal,combined,117,backspace_per_char,0.0018766316673301,0.0036881224584697
personal,combined,118,dd_cc_std,0.0018283940431474,0.0060700221695142
personal,combined,119,long_pause_count,0.0018230120861488,0.004212503884786
personal,combined,120,acc_mag_spectral_entropy,0.0017525369276042,0.0036465228989467
personal,combined,121,pd_max,0.0016693335840419,0.0041181297119812
personal,combined,122,burst_count_per_char,0.0015337678493504,0.0037101741730493
personal,combined,123,pd_kurt,0.0014386726586233,0.0038320017678466
personal,combined,124,acc_post_pre_energy_ratio_mean,0.0014116072934802,0.0053999233981915
personal,combined,125,max_burst_size,0.0013499249475801,0.0026989887812727
personal,combined,126,ft_max,0.0012394766778992,0.0022864813391694
personal,combined,127,dd_cv_std,0.001166632987391,0.0027267845502879
personal,combined,128,mean_burst_size,0.0011521601086717,0.0023885741835976
personal,combined,129,dd_sl_std,0.001130171638453,0.0020522158831241
personal,combined,130,acc_keystroke_xcorr_lag_ms,0.0011123210110299,0.0016187940115397
personal,combined,131,typing_efficiency,0.0011094493674741,0.0026483107812415
personal,combined,132,error_rate,0.0010976387024876,0.0022561747071889
personal,combined,133,uu_max,0.0010371132205918,0.0017370106262682
personal,combined,134,mean_corr_time,0.0010326135020269,0.0025904710414947
personal,combined,135,corr_dd_acc_energy,0.0010037821164766,0.0017943216890861
personal,combined,136,dd_max,0.0009862262870972,0.001454600910713
personal,combined,137,pd_min,0.0009323444474455,0.0019640115119341
personal,combined,138,dd_trend_slope,0.0008629616541805,0.0036028547618389
personal,combined,139,acc_dt_std,0.000786995961375,0.0014908392474651
personal,combined,140,dd_vc_std,0.0007795240178504,0.0016201539770582
personal,combined,141,backspace_count,0.0007496489793327,0.0016618035812672
personal,combined,142,ft_skew,0.0007213937819399,0.0015699478744244
personal,combined,143,dd_skew,0.0007154523357255,0.0011562740321488
personal,combined,144,gyro_dt_std,0.000658423095944,0.001177706964825
personal,combined,145,uu_skew,0.0005599076168769,0.0009636719827084
personal,combined,146,uu_kurt,0.0005506961177754,0.0008962634278897
personal,combined,147,gyro_cov,0.0005018018669341,0.0010568571328881
personal,combined,148,ft_kurt,0.00038578757985,0.0008477050808329
personal,combined,149,dd_kurt,0.0003810959530848,0.0007046928991459
personal,combined,150,uu_valid_ratio,0.0003611503441755,0.0012554126545217
personal,combined,151,dd_valid_ratio,0.0003496595915444,0.0012616343130798
personal,combined,152,acc_cov,0.0003461178633912,0.0009330105936992
personal,combined,153,burst_count,0.0003104810983184,0.0006315414347918
personal,combined,154,ft_valid_ratio,9.207427414659095e-05,0.0002301439118011
